tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
717486.0,699414.0,716715.0,772331.0,373322.0,310821,2296.0,2215.0,2439.0,2578.0,1276,1042,Avenue U,F,2429.0,2483.0,1715.0,2080.0,875,820
1211062.0,1251276.0,1253349.0,456533.0,734714.0,830278,3738.0,3857.0,3894.0,1399.0,2285,2627,Avenue U,N,4745.0,4915.0,4767.0,1795.0,2803,2954
2176073.0,2175035.0,2231577.0,2332985.0,2360833.0,2329614,6821.0,6922.0,6975.0,7384.0,7391,7323,Avenue U,Q,8015.0,7500.0,8322.0,8188.0,8804,8492
908520.0,892170.0,589962.0,727220.0,738274.0,775436,2972.0,2859.0,1928.0,2424.0,2508,2662,Avenue X,F,2783.0,2999.0,1817.0,1988.0,1822,1759
847843.0,884302.0,872953.0,972937.0,900508.0,826074,2793.0,2875.0,2872.0,3176.0,2926,2674,Bay 50 St,D,2492.0,2784.0,2575.0,2960.0,2854,2649
2298420.0,2362284.0,2368617.0,2578524.0,2502105.0,2435949,7111.0,7322.0,7501.0,8069.0,7837,7719,Bay Pkwy,D,8927.0,9097.0,8350.0,9471.0,9306,8575
487308.0,478322.0,460536.0,406793.0,214153.0,188225,1575.0,1516.0,1491.0,1329.0,729,623,Bay Pkwy,F,1578.0,1690.0,1476.0,1232.0,522,536
2243082.0,2342792.0,2298369.0,3435240.0,2950253.0,2266916,6990.0,7301.0,7164.0,10955.0,9328,7261,Bay Pkwy,N,8457.0,8808.0,8609.0,11631.0,10537,7605
2525470.0,2597559.0,2623309.0,2622438.0,1282256.0,2228497,8079.0,8283.0,8379.0,8415.0,4173,7236,Bay Ridge Av,R,8590.0,8967.0,9001.0,8719.0,4005,7072
1830193.0,1858200.0,1865038.0,1853049.0,1755379.0,1739178,5974.0,6051.0,6101.0,6090.0,5969,5812,Bay Ridge-95 St,R,5692.0,5837.0,5730.0,5510.0,4361,4754
9214395.0,9892516.0,9388289.0,9688560.0,9644831.0,9053980,25755.0,27224.0,27132.0,27486.0,27783,26603,Bedford Av,L,49553.0,54863.0,45740.0,49479.0,48007,42024
2348998.0,2513681.0,2634066.0,2697942.0,2779124.0,2774993,7300.0,7778.0,8197.0,8487.0,8741,8821,Bedford-Nostrand Avs,G,9008.0,9798.0,10057.0,9815.0,10274,9742
1296199.0,1236513.0,1210571.0,1231084.0,1180684.0,1140677,4070.0,3923.0,3823.0,3884.0,3853,3653,Bergen St,2 3,4825.0,4381.0,4384.0,4433.0,3729,3906
3650848.0,3711317.0,3708300.0,3599389.0,3525144.0,3478946,11562.0,11570.0,11548.0,11529.0,11306,11174,Bergen St,F G,13031.0,14118.0,14243.0,12161.0,12047,11737
737652.0,838970.0,899663.0,953903.0,1038252.0,1060568,2340.0,2690.0,2894.0,3059.0,3267,3350,Beverley Rd,Q,2561.0,2787.0,2967.0,3183.0,3811,3801
1364573.0,1360719.0,1392643.0,1379958.0,1348244.0,1307405,4375.0,4447.0,4457.0,4464.0,4384,4255,Beverly Rd,2 5,4569.0,4176.0,4699.0,4376.0,4268,4081
3810743.0,3872092.0,4014831.0,4044514.0,3957811.0,3778194,12185.0,12498.0,12794.0,13035.0,12587,12065,Brighton Beach,B Q,12912.0,12524.0,13763.0,13137.0,13830,12828
1071877.0,1124407.0,1313362.0,1397227.0,1385797.0,1402102,3368.0,3500.0,4011.0,4340.0,4452,4467,Broadway,G,3905.0,4261.0,5368.0,5292.0,4592,4816
2948156.0,3018656.0,3133658.0,3085401.0,2911532.0,2810636,8863.0,9149.0,9251.0,9189.0,8681,8142,Broadway Junction,A C J L Z,12707.0,12553.0,14361.0,13638.0,12960,13505
490042.0,563577.0,598393.0,672880.0,682086.0,671545,1509.0,1683.0,1874.0,2105.0,2112,2079,Bushwick Av-Aberdeen St,L,1945.0,2477.0,2198.0,2470.0,2683,2605
4062690.0,4175970.0,4024313.0,3897784.0,3828628.0,3598843,13254.0,13512.0,13481.0,13131.0,12661,11947,Canarsie-Rockaway Pkwy,L,12617.0,13478.0,10709.0,9961.0,11231,10207
3782675.0,3616947.0,3672702.0,3563150.0,3537661.0,3490924,12339.0,11744.0,11923.0,11848.0,11723,11562,Carroll St,F G,11838.0,11587.0,11821.0,10034.0,10389,10168
505757.0,970531.0,1141731.0,1158274.0,539681.0,725022,1744.0,3282.0,3715.0,3884.0,1929,2393,Central Av,M,1082.0,2472.0,3596.0,3080.0,845,2143
938803.0,959091.0,1045698.0,1092483.0,1095638.0,1063828,2967.0,3050.0,3200.0,3360.0,3408,3387,Chauncey St,J Z,3323.0,3345.0,4231.0,4309.0,4194,3690
3059215.0,3020066.0,3070551.0,3027658.0,2916680.0,2818535,9794.0,9852.0,9864.0,9808.0,9512,9193,Church Av,2 5,10381.0,9375.0,10219.0,9569.0,9141,8751
5603898.0,5482093.0,5707573.0,5438775.0,5455527.0,5161293,17638.0,17473.0,17811.0,17482.0,17186,16528,Church Av,B Q,20399.0,18797.0,21472.0,18017.0,19961,17461
3193844.0,3201585.0,3353795.0,3315387.0,3148411.0,3099383,9984.0,9954.0,10490.0,10151.0,9697,9492,Church Av,F G,11927.0,12224.0,12511.0,13332.0,12592,12594
1972314.0,2018876.0,1997148.0,2000024.0,1631139.0,1550414,5971.0,6083.0,5922.0,5903.0,5635,5275,Clark St,2 3,8326.0,8599.0,9018.0,9083.0,3708,3851
1432872.0,1477256.0,1604508.0,1581663.0,1585121.0,1649340,4490.0,4601.0,4966.0,4996.0,5106,5301,Classon Av,G,5308.0,5606.0,6265.0,5645.0,5290,5502
1050261.0,1107397.0,1120403.0,1104683.0,1011734.0,901928,3328.0,3467.0,3514.0,3483.0,3270,2975,Cleveland St,J,3699.0,4104.0,4119.0,3945.0,3296,2657
2104035.0,2077312.0,2060200.0,2152345.0,2201880.0,2178439,6642.0,6719.0,6603.0,6932.0,7130,7068,Clinton-Washington Avs,C,7642.0,6753.0,7011.0,7119.0,7224,7035
1678004.0,1652336.0,1716023.0,1656058.0,1551042.0,1534802,5294.0,5178.0,5364.0,5312.0,5083,5025,Clinton-Washington Avs,G,6097.0,6170.0,6501.0,5585.0,4806,4723
4690794.0,4980140.0,5132083.0,5025598.0,4803755.0,4615664,13177.0,13734.0,14073.0,14098.0,13542,13203,Coney Island-Stillwell Av,D F N Q,23726.0,26733.0,27415.0,25961.0,24556,22536
1700177.0,1806758.0,1961144.0,1978254.0,2028859.0,1994734,5318.0,5727.0,6220.0,6332.0,6348,6276,Cortelyou Rd,Q,6294.0,6328.0,6892.0,6666.0,7610,7263
11291705.0,11474717.0,11360058.0,11080334.0,10693598.0,10364534,38428.0,38944.0,38559.0,38089.0,36762,35599,Court St /Borough Hall,2 3 4 5 R,28081.0,28947.0,28593.0,25365.0,25259,24195
1509290.0,1583134.0,1626727.0,1617730.0,1570485.0,1467166,4683.0,4925.0,5073.0,5053.0,4842,4539,Crescent St,J Z,5804.0,6020.0,6122.0,5999.0,6243,5792
8534705.0,8690082.0,8965908.0,9051970.0,8954499.0,7920192,27780.0,28287.0,28146.0,29069.0,28980,25336,Crown Heights-Utica Av,3 4,26704.0,27343.0,33065.0,29939.0,29038,26901
